countystate,county,price,state,FIPS
"Pope County, AR",Pope,3.029,AR,05115
"Prairie County, AR",Prairie,3.044,AR,05117
"Pulaski County, AR",Pulaski,3.02,AR,05119
"Randolph County, AR",Randolph,3.099,AR,05121
"St. Francis County, AR",St. Francis,3.044,AR,05123
"Saline County, AR",Saline,2.999,AR,05125
"Scott County, AR",Scott,3.044,AR,05127
"Searcy County, AR",Searcy,3.044,AR,05129
"Sebastian County, AR",Sebastian,2.963,AR,05131
"Sevier County, AR",Sevier,3.044,AR,05133
"Sharp County, AR",Sharp,3.044,AR,05135
"Stone County, AR",Stone,3.044,AR,05137
"Union County, AR",Union,3.044,AR,05139
"Van Buren County, AR",Van Buren,3.044,AR,05141
"Washington County, AR",Washington,3.074,AR,05143
"White County, AR",White,3.007,AR,05145
"Woodruff County, AR",Woodruff,3.044,AR,05147
"Yell County, AR",Yell,3.044,AR,05149
"Alameda County, CA",Alameda,4.787,CA,06001
"Alpine County, CA",Alpine,4.685,CA,06003
"Amador County, CA",Amador,4.759,CA,06005
"Butte County, CA",Butte,4.539,CA,06007
"Calaveras County, CA",Calaveras,4.534,CA,06009
"Colusa County, CA",Colusa,4.685,CA,06011
"Contra Costa County, CA",Contra Costa,4.75,CA,06013
"Del Norte County, CA",Del Norte,4.999,CA,06015
"El Dorado County, CA",El Dorado,4.745,CA,06017
"Fresno County, CA",Fresno,4.573,CA,06019
"Glenn County, CA",Glenn,4.677,CA,06021
"Humboldt County, CA",Humboldt,4.893,CA,06023
"Imperial County, CA",Imperial,4.617,CA,06025
"Inyo County, CA",Inyo,4.709,CA,06027
"Kern County, CA",Kern,4.611,CA,06029
"Kings County, CA",Kings,4.477,CA,06031
"Lake County, CA",Lake,4.665,CA,06033
"Lassen County, CA",Lassen,4.729,CA,06035
"Los Angeles County, CA",Los Angeles,4.647,CA,06037
"Madera County, CA",Madera,4.606,CA,06039
"Marin County, CA",Marin,4.918,CA,06041
"Mariposa County, CA",Mariposa,4.685,CA,06043
"Mendocino County, CA",Mendocino,4.673,CA,06045
"Merced County, CA",Merced,4.7,CA,06047
"Modoc County, CA",Modoc,4.685,CA,06049
"Mono County, CA",Mono,5.639,CA,06051
"Monterey County, CA",Monterey,4.734,CA,06053
"Napa County, CA",Napa,4.84,CA,06055
"Nevada County, CA",Nevada,4.7,CA,06057
"Orange County, CA",Orange,4.632,CA,06059
"Placer County, CA",Placer,4.763,CA,06061
"Plumas County, CA",Plumas,4.593,CA,06063
"Riverside County, CA",Riverside,4.589,CA,06065
"Sacramento County, CA",Sacramento,4.645,CA,06067
"San Benito County, CA",San Benito,4.631,CA,06069
"San Bernardino County, CA",San Bernardino,4.564,CA,06071
"San Diego County, CA",San Diego,4.582,CA,06073
"San Francisco County, CA",San Francisco,4.899,CA,06075
"San Joaquin County, CA",San Joaquin,4.604,CA,06077
"San Luis Obispo County, CA",San Luis Obispo,4.851,CA,06079
"San Mateo County, CA",San Mateo,4.843,CA,06081
"Santa Barbara County, CA",Santa Barbara,4.593,CA,06083
"Santa Clara County, CA",Santa Clara,4.822,CA,06085
"Santa Cruz County, CA",Santa Cruz,4.727,CA,06087
"Shasta County, CA",Shasta,4.578,CA,06089
"Sierra County, CA",Sierra,4.685,CA,06091
"Siskiyou County, CA",Siskiyou,4.691,CA,06093
"Solano County, CA",Solano,4.72,CA,06095
"Sonoma County, CA",Sonoma,4.861,CA,06097
"Stanislaus County, CA",Stanislaus,4.607,CA,06099
"Sutter County, CA",Sutter,4.607,CA,06101
"Tehama County, CA",Tehama,4.508,CA,06103
"Trinity County, CA",Trinity,4.685,CA,06105
"Tulare County, CA",Tulare,4.513,CA,06107
"Tuolumne County, CA",Tuolumne,4.559,CA,06109
"Ventura County, CA",Ventura,4.655,CA,06111
"Yolo County, CA",Yolo,4.636,CA,06113
"Yuba County, CA",Yuba,4.568,CA,06115
"Adams County, CO",Adams,3.424,CO,08001
"Alamosa County, CO",Alamosa,3.709,CO,08003
"Arapahoe County, CO",Arapahoe,3.36,CO,08005
"Archuleta County, CO",Archuleta,3.463,CO,08007
"Baca County, CO",Baca,3.259,CO,08009
"Bent County, CO",Bent,3.539,CO,08011
"Boulder County, CO",Boulder,3.417,CO,08013
"Chaffee County, CO",Chaffee,3.463,CO,08015
"Cheyenne County, CO",Cheyenne,3.463,CO,08017
"Clear Creek County, CO",Clear Creek,3.746,CO,08019
"Conejos County, CO",Conejos,3.463,CO,08021
"Costilla County, CO",Costilla,3.463,CO,08023
"Crowley County, CO",Crowley,3.463,CO,08025
"Custer County, CO",Custer,3.463,CO,08027
"Delta County, CO",Delta,3.463,CO,08029
"Denver County, CO",Denver,3.455,CO,08031
"Dolores County, CO",Dolores,3.463,CO,08033
"Douglas County, CO",Douglas,3.526,CO,08035
"Eagle County, CO",Eagle,3.751,CO,08037
"El Paso County, CO",El Paso,3.386,CO,08041
"Elbert County, CO",Elbert,3.463,CO,08039
"Fremont County, CO",Fremont,3.564,CO,08043
"Garfield County, CO",Garfield,3.809,CO,08045
"Gilpin County, CO",Gilpin,3.463,CO,08047
"Grand County, CO",Grand,3.649,CO,08049
"Gunnison County, CO",Gunnison,3.463,CO,08051
"Hinsdale County, CO",Hinsdale,3.463,CO,08053
"Huerfano County, CO",Huerfano,3.463,CO,08055
"Jackson County, CO",Jackson,3.463,CO,08057
"Jefferson County, CO",Jefferson,3.425,CO,08059
"Kiowa County, CO",Kiowa,3.463,CO,08061
"Kit Carson County, CO",Kit Carson,3.463,CO,08063
"La Plata County, CO",La Plata,3.599,CO,08067
"Lake County, CO",Lake,3.463,CO,08065
"Larimer County, CO",Larimer,3.397,CO,08069
"Las Animas County, CO",Las Animas,3.463,CO,08071
"Lincoln County, CO",Lincoln,3.359,CO,08073
"Logan County, CO",Logan,3.463,CO,08075
"Mesa County, CO",Mesa,3.436,CO,08077
"Mineral County, CO",Mineral,3.463,CO,08079
"Moffat County, CO",Moffat,3.463,CO,08081
"Montezuma County, CO",Montezuma,3.599,CO,08083
"Montrose County, CO",Montrose,3.569,CO,08085
"Morgan County, CO",Morgan,3.393,CO,08087
"Otero County, CO",Otero,3.679,CO,08089
"Ouray County, CO",Ouray,3.463,CO,08091
"Park County, CO",Park,3.463,CO,08093
"Phillips County, CO",Phillips,3.463,CO,08095
"Pitkin County, CO",Pitkin,3.463,CO,08097
"Prowers County, CO",Prowers,3.463,CO,08099
